Key,Platform UI,Platform API,Legacy,Found
miscellaneous::AUD,FALSE,FALSE,FALSE,No
miscellaneous::CAD,FALSE,FALSE,FALSE,No
miscellaneous::change,FALSE,FALSE,FALSE,No
miscellaneous::CHF,FALSE,FALSE,FALSE,No
miscellaneous::clear_filters,FALSE,FALSE,FALSE,No
miscellaneous::click_reference,FALSE,FALSE,FALSE,No
miscellaneous::commission_locale,FALSE,FALSE,FALSE,No
miscellaneous::compare_date,FALSE,FALSE,FALSE,No
miscellaneous::compare_metrics,FALSE,FALSE,FALSE,No
miscellaneous::create_new,FALSE,FALSE,FALSE,No
miscellaneous::creditnote_id,FALSE,FALSE,FALSE,No
miscellaneous::CZK,FALSE,FALSE,FALSE,No
miscellaneous::date_all,FALSE,FALSE,FALSE,No
miscellaneous::day_test,FALSE,FALSE,FALSE,No
miscellaneous::days_header,FALSE,FALSE,FALSE,No
miscellaneous::DKK,FALSE,FALSE,FALSE,No
miscellaneous.dropdown_label,FALSE,FALSE,FALSE,No
miscellaneous.dropdown_prompt,FALSE,FALSE,FALSE,No
miscellaneous::edit_all,FALSE,FALSE,FALSE,No
miscellaneous::epch,FALSE,FALSE,FALSE,No
miscellaneous::EUR,FALSE,FALSE,FALSE,No
miscellaneous::event_id,FALSE,FALSE,FALSE,No
miscellaneous::filter_by,FALSE,FALSE,FALSE,No
miscellaneous::frequency,FALSE,FALSE,FALSE,No
miscellaneous::GBP,FALSE,FALSE,FALSE,No
miscellaneous::HKD,FALSE,FALSE,FALSE,No
miscellaneous::hours,FALSE,FALSE,FALSE,No
miscellaneous::HUF,FALSE,FALSE,FALSE,No
miscellaneous::ip_address,FALSE,FALSE,FALSE,No
miscellaneous::JPY,FALSE,FALSE,FALSE,No
miscellaneous::logo,FALSE,FALSE,FALSE,No
miscellaneous::manual_commission,FALSE,FALSE,FALSE,No
miscellaneous::minutes,FALSE,FALSE,FALSE,No
miscellaneous::new_programmes,FALSE,FALSE,FALSE,No
miscellaneous::NOK,FALSE,FALSE,FALSE,No
miscellaneous::num_affiliates,FALSE,FALSE,FALSE,No
miscellaneous::num_order_references,FALSE,FALSE,FALSE,No
miscellaneous::number_of_publishers,FALSE,FALSE,FALSE,No
miscellaneous::NZD,FALSE,FALSE,FALSE,No
miscellaneous::old_platform,FALSE,FALSE,FALSE,No
miscellaneous::performance,FALSE,FALSE,FALSE,No
